date,phase
7/15/2016,4
7/16/2016,4
7/17/2016,4
7/18/2016,5
7/19/2016,5
7/20/2016,5
7/21/2016,6
7/22/2016,6
7/23/2016,6
7/24/2016,6
7/25/2016,6
7/26/2016,7
7/27/2016,7
7/28/2016,8
7/29/2016,8
7/30/2016,8
7/31/2016,8
8/1/2016,1
8/2/2016,1
8/3/2016,1
8/4/2016,2
8/5/2016,2
8/6/2016,2
8/7/2016,2
8/8/2016,2
8/9/2016,3
8/10/2016,3
8/11/2016,3
8/12/2016,4
8/13/2016,4
8/14/2016,4
8/15/2016,4
8/16/2016,4
8/17/2016,5
8/18/2016,5
8/19/2016,5
8/20/2016,6
8/21/2016,6
8/22/2016,6
8/23/2016,6
8/24/2016,7
8/25/2016,7
8/26/2016,7
8/27/2016,8
8/28/2016,8
8/29/2016,8
8/30/2016,8
8/31/2016,1
9/1/2016,1
9/2/2016,1
9/3/2016,2
9/4/2016,2
9/5/2016,2
9/6/2016,2
9/7/2016,2
9/8/2016,3
9/9/2016,3
9/10/2016,3
9/11/2016,4
9/12/2016,4
9/13/2016,4
9/14/2016,4
9/15/2016,5
9/16/2016,5
9/17/2016,5
9/18/2016,6
9/19/2016,6
9/20/2016,6
9/21/2016,6
9/22/2016,7
9/23/2016,7
9/24/2016,7
9/25/2016,8
9/26/2016,8
9/27/2016,8
9/28/2016,8
9/29/2016,1
9/30/2016,1
1/1/2017,2
1/2/2017,2
1/3/2017,2
1/4/2017,3
1/5/2017,3
1/6/2017,3
1/7/2017,4
1/8/2017,4
1/9/2017,4
1/10/2017,4
1/11/2017,5
1/12/2017,5
1/13/2017,5
1/14/2017,6
1/15/2017,6
1/16/2017,6
1/17/2017,6
1/18/2017,7
1/19/2017,7
1/20/2017,7
1/21/2017,7
1/22/2017,8
1/23/2017,8
1/24/2017,8
1/25/2017,8
1/26/2017,1
1/27/2017,1
1/28/2017,1
1/29/2017,1
1/30/2017,2
1/31/2017,2
2/1/2017,2
2/2/2017,2
2/3/2017,3
2/4/2017,3
2/5/2017,3
2/6/2017,4
2/7/2017,4
2/8/2017,4
2/9/2017,4
2/10/2017,5
2/11/2017,5
2/12/2017,6
2/13/2017,6
2/14/2017,6
2/15/2017,6
2/16/2017,6
2/17/2017,7
2/18/2017,7
2/19/2017,7
2/20/2017,8
2/21/2017,8
2/22/2017,8
2/23/2017,8
2/24/2017,8
2/25/2017,1
2/26/2017,1
2/27/2017,1
2/28/2017,2
3/1/2017,2
3/2/2017,2
3/3/2017,2
3/4/2017,3
3/5/2017,3
3/6/2017,3
3/7/2017,4
3/8/2017,4
3/9/2017,4
3/10/2017,4
3/11/2017,5
3/12/2017,5
3/13/2017,5
3/14/2017,6
3/15/2017,6
3/16/2017,6
3/17/2017,6
3/18/2017,6
3/19/2017,7
3/20/2017,7
3/21/2017,7
3/22/2017,8
3/23/2017,8
3/24/2017,8
3/25/2017,8
3/26/2017,8
3/27/2017,1
3/28/2017,1
3/29/2017,2
3/30/2017,2
3/31/2017,2
4/1/2017,2
4/2/2017,3
4/3/2017,3
4/4/2017,3
4/5/2017,4
4/6/2017,4
4/7/2017,4
4/8/2017,4
4/9/2017,4
4/10/2017,5
4/11/2017,5
4/12/2017,5
4/13/2017,6
4/14/2017,6
4/15/2017,6
4/16/2017,6
4/17/2017,6
4/18/2017,7
4/19/2017,7
4/20/2017,7
4/21/2017,8
4/22/2017,8
4/23/2017,8
4/24/2017,8
4/25/2017,1
4/26/2017,1
4/27/2017,1
4/28/2017,2
4/29/2017,2
4/30/2017,2
5/1/2017,2
5/2/2017,3
5/3/2017,3
5/4/2017,3
5/5/2017,4
5/6/2017,4
5/7/2017,4
5/8/2017,4
5/9/2017,5
5/10/2017,5
5/11/2017,5
5/12/2017,5
5/13/2017,6
5/14/2017,6
5/15/2017,6
5/16/2017,6
5/17/2017,7
5/18/2017,7
5/19/2017,7
5/20/2017,7
5/21/2017,8
5/22/2017,8
5/23/2017,8
5/24/2017,8
5/25/2017,1
5/26/2017,1
5/27/2017,2
5/28/2017,2
5/29/2017,2
5/30/2017,2
5/31/2017,3
6/1/2017,3
6/2/2017,3
6/3/2017,4
6/4/2017,4
6/5/2017,4
6/6/2017,4
6/7/2017,4
6/8/2017,5
6/9/2017,5
6/10/2017,5
6/11/2017,6
6/12/2017,6
6/13/2017,6
6/14/2017,6
6/15/2017,6
6/16/2017,7
6/17/2017,7
6/18/2017,7
6/19/2017,8
6/20/2017,8
6/21/2017,8
6/22/2017,8
6/23/2017,1
6/24/2017,1
6/25/2017,2
6/26/2017,2
6/27/2017,2
6/28/2017,2
6/29/2017,2
6/30/2017,3
7/1/2017,3
7/2/2017,3
7/3/2017,4
7/4/2017,4
7/5/2017,4
7/6/2017,4
7/7/2017,4
7/8/2017,5
7/9/2017,5
7/10/2017,5
7/11/2017,6
7/12/2017,6
7/13/2017,6
7/14/2017,6
7/15/2017,7
7/16/2017,7
7/17/2017,7
7/18/2017,8
7/19/2017,8
7/20/2017,8
7/21/2017,8
7/22/2017,1
7/23/2017,1
7/24/2017,1
7/25/2017,2
7/26/2017,2
7/27/2017,2
7/28/2017,2
7/29/2017,3
7/30/2017,3
7/31/2017,3
8/1/2017,4
8/2/2017,4
8/3/2017,4
8/4/2017,4
8/5/2017,4
8/6/2017,5
8/7/2017,5
8/8/2017,5
8/9/2017,6
8/10/2017,6
8/11/2017,6
8/12/2017,6
8/13/2017,6
8/14/2017,7
8/15/2017,7
8/16/2017,8
8/17/2017,8
8/18/2017,8
8/19/2017,8
8/20/2017,1
8/21/2017,1
8/22/2017,1
8/23/2017,2
8/24/2017,2
8/25/2017,2
8/26/2017,2
8/27/2017,2
8/28/2017,3
8/29/2017,3
8/30/2017,3
8/31/2017,4
9/1/2017,4
9/2/2017,4
9/3/2017,4
9/4/2017,4
9/5/2017,5
9/6/2017,5
9/7/2017,5
9/8/2017,6
9/9/2017,6
9/10/2017,6
9/11/2017,6
9/12/2017,7
9/13/2017,7
9/14/2017,7
9/15/2017,8
9/16/2017,8
9/17/2017,8
9/18/2017,8
9/19/2017,1
9/20/2017,1
9/21/2017,1
9/22/2017,2
9/23/2017,2
9/24/2017,2
9/25/2017,2
9/26/2017,3
9/27/2017,3
9/28/2017,3
9/29/2017,3
9/30/2017,4
10/1/2017,4
10/2/2017,4
10/3/2017,4
10/4/2017,5
10/5/2017,5
10/6/2017,5
10/7/2017,6
10/8/2017,6
10/9/2017,6
